# v,actor_1,actor_2,actor_3,actor_4,actor_5
0.000000000000000000e+00,2.627069789730928639e-01,2.667069789730928675e-01,2.667069789730928675e-01,2.687069789730928693e-01,2.687069789730928693e-01
2.500000000000000000e-01,2.635979551804524257e-01,2.655979551804523719e-01,2.695979551804523755e-01,2.675979551804523737e-01,2.655979551804523719e-01
5.000000000000000000e-01,2.630664340484517028e-01,2.670664340484517063e-01,2.670664340484517063e-01,2.690664340484517081e-01,2.690664340484517081e-01
7.500000000000000000e-01,2.687311184223018512e-01,2.687311184223018512e-01,2.647311184223018476e-01,2.667311184223018494e-01,2.687311184223018512e-01
1.000000000000000000e+00,2.664937491407005088e-01,2.664937491407005088e-01,2.684937491407005106e-01,2.684937491407005106e-01,2.664937491407005088e-01
