# v,actor_1,actor_2,actor_3,actor_4,actor_5
0.000000000000000000e+00,8.000000000000000167e-03,4.000000000000000083e-03,4.000000000000000083e-03,2.000000000000000042e-03,2.000000000000000042e-03
2.500000000000000000e-01,6.000000000000000125e-03,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,4.000000000000000083e-03
5.000000000000000000e-01,6.000000000000000125e-03,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03
